30298948,NULL,"2006","PHIL",NULL,0
30299450,NULL,"2007","ARCH","ARTS",0
30299508,NULL,"2006","ECON",NULL,0
30299741,NULL,"2006","ENG","MAS",0
30300925,NULL,"2006","ENG","PHIL",0
30301069,NULL,"2006","HIST",NULL,0
30301310,NULL,"2006","PSYC",NULL,0
30301728,NULL,"2010","CLSC",NULL,0
30301910,NULL,"2006","EAS",NULL,0
30301946,NULL,"2006","ECON","POLS",0
30302094,NULL,"2007","ARTH",NULL,0
30302226,NULL,"2007","PSYC",NULL,0
30302483,NULL,"2006","ECON",NULL,0
30303058,NULL,"2006","SPAN","ARTH",0
30303412,NULL,"2006","POLS",NULL,0
30303457,NULL,"2007","HIST",NULL,0
30303459,NULL,"2006","ECON",NULL,0
30303656,NULL,"2006","MAS",NULL,0
30303830,NULL,"2006","ES",NULL,0
30304065,NULL,"2006","ECON",NULL,0
30304123,NULL,"2006","ARCH",NULL,0
30304467,NULL,"2006","PSYC",NULL,0
30304921,NULL,"2006","HIST",NULL,0
30305470,NULL,"2006","POLS","PSYC",0
30305490,NULL,"2006","ENG",NULL,0
30305522,NULL,"2006","ENG",NULL,0
30305696,NULL,"2007","ARTH",NULL,0
30305871,NULL,"2006","POLS","NEUR",0
30306305,NULL,"2006","CLCV",NULL,0
30306461,NULL,"2006","PSYC",NULL,0
30306609,NULL,"2006","AMST",NULL,0
30307380,NULL,"2006","SOC","CAMS",0
30307714,NULL,"2009","SPAN",NULL,0
30307767,NULL,"2006","PSYC",NULL,0
30308050,NULL,"2011","ENG",NULL,0
30308098,NULL,"2006","PSYC",NULL,0
30309344,NULL,"2006","ECON",NULL,0
30309409,NULL,"2007","BISC",NULL,0
30310900,NULL,"2006","SPAN",NULL,0
30311003,NULL,"2006","HIST","ARCH",0
30314705,NULL,"2006","NEUR",NULL,0
30315174,NULL,"2006","NEUR","PHIL",0
30315181,NULL,"2007","HIST","ENG",0
30315375,NULL,"2006","SOC",NULL,0
30315388,NULL,"2006","POLS","SPAN",0
30315412,NULL,"2006","HIST",NULL,0
30315527,NULL,"2006","MAS",NULL,0
30315541,NULL,"2006","ENG",NULL,0
30315671,NULL,"2006","ARTH",NULL,0
30315739,NULL,"2006","ECON",NULL,0
30315883,NULL,"2006","ENG","MUS",0
30316058,NULL,"2007","ES","MAS",0
30316069,NULL,"2007","POLS",NULL,0
30316415,NULL,"2006","PSYC",NULL,0
30316489,NULL,"2006","ECON",NULL,0
30316587,NULL,"2011","BISC",NULL,0
30316588,NULL,"2008","ARTS","ECON",0
